outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,4,elastic_net,10.0,1.0,0.5286697718553982,0.03220926843684179,10.0
1,4,elastic_net,0.2,0.8,0.5289688447507714,0.013395927769572682,7.2
1,4,elastic_net,10.0,0.8,0.5290718963676851,0.03232439453598073,10.0
1,4,elastic_net,10.0,0.5,0.5296858791935841,0.032498197015289006,10.0
1,4,elastic_net,10.0,0.2,0.5302920614368603,0.03266897789099646,10.0
1,4,elastic_net,0.2,1.0,0.538212471256049,0.012698820528409151,6.4
1,4,elastic_net,0.1,0.5,0.5470277155143378,0.012643649331969129,6.6
1,4,elastic_net,0.05,0.2,0.5505810621278476,0.012334460387557422,7.0
1,4,elastic_net,0.1,0.8,0.5741223772520616,0.011674058102878575,4.0
1,4,elastic_net,0.1,1.0,0.5870964031348145,0.010722385398556156,2.4
1,4,elastic_net,0.05,0.5,0.5903110357522486,0.00980346964811505,2.6
1,4,elastic_net,0.02,0.2,0.595002711777548,0.008822039988239907,2.8
1,4,elastic_net,0.05,1.0,0.6025326713298591,0.007043092844965768,0.0
1,4,elastic_net,0.05,0.8,0.6026376462367391,0.0071863592605752044,0.2
1,4,elastic_net,0.01,0.2,0.6041118550432698,0.006357060338842485,0.0
1,4,elastic_net,0.02,0.5,0.6048919794623903,0.00642918976076099,0.0
1,4,elastic_net,0.02,1.0,0.6138581725337925,0.005981615355854305,0.0
1,4,elastic_net,0.01,1.0,0.6152803867451526,0.004640485143391805,0.0
1,4,elastic_net,0.005,1.0,0.6181807255078892,0.006052195581099258,0.0
1,4,elastic_net,0.002,1.0,0.6181968234060466,0.006055756125823957,0.0
1,4,elastic_net,0.001,1.0,0.6181970546237971,0.006055909945126731,0.0
1,4,elastic_net,0.02,0.8,0.6204240256131979,0.007338562909758754,0.0
1,4,elastic_net,0.01,0.5,0.6230620251141838,0.007698194834268949,0.0
1,4,elastic_net,0.01,0.8,0.6231659836183046,0.007352152757616875,0.0
1,4,elastic_net,0.005,0.2,0.6232154023989391,0.00789798086832309,0.0
1,4,elastic_net,0.005,0.8,0.6267122937909118,0.004207622871731551,0.0
1,4,elastic_net,0.005,0.5,0.6273257949203955,0.004204541129048172,0.0
1,4,elastic_net,0.002,0.2,0.6302016899611861,0.004220181915911583,0.0
1,4,elastic_net,0.002,0.8,0.6319959493959605,0.005454392385892018,0.0
1,4,elastic_net,0.001,0.8,0.6330748874557313,0.005398919256955022,0.0
1,4,elastic_net,0.002,0.5,0.6335923524551211,0.005369847146503919,0.0
1,4,elastic_net,0.001,0.5,0.6361187404639497,0.005232930114821028,0.0
1,4,elastic_net,0.001,0.2,0.6388944540933468,0.005068096440121427,0.0
1,4,lasso,0.5,,0.5121955367170353,0.020311884562201853,7.2
1,4,lasso,1.0,,0.512224930552159,0.024782930970096477,7.8
1,4,lasso,2.0,,0.5177644610417925,0.028271505394323923,9.0
1,4,lasso,5.0,,0.5253791426928637,0.031107865367609826,9.8
1,4,lasso,10.0,,0.5286697718553982,0.03220926843684179,10.0
1,4,lasso,0.2,,0.538212471256049,0.012698820528409151,6.4
1,4,lasso,0.1,,0.5870964031348145,0.010722385398556156,2.4
1,4,lasso,0.05,,0.6025326713298591,0.007043092844965768,0.0
1,4,lasso,0.02,,0.6138581725337925,0.005981615355854305,0.0
1,4,lasso,0.01,,0.6152803867451526,0.004640485143391805,0.0
1,4,lasso,0.005,,0.6181807255078892,0.006052195581099258,0.0
1,4,lasso,0.002,,0.6181968234060466,0.006055756125823957,0.0
1,4,lasso,0.001,,0.6181970546237971,0.006055909945126731,0.0
1,5,ridge,0.05,,0.5816463321360437,0.02211213717546779,10.0
