bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
119,0.1,0.7893790849673202,0.7441860465116279,0.045193038455692336,0.6652485851856251,0.5717207600548802,0.09352782513074498,0.1455072029393643,0.1746997654626862,-0.02919256252332189,0.45462616620592794,0.521535616773619,-0.0669094505676911
120,0.1,0.7987603305785124,0.7438878950506859,0.0548724355278265,0.7076748180677764,0.6120802567534465,0.09559456131432997,0.16770570083013372,0.16998363983792852,-0.002277939007794799,0.5066579295049609,0.5155820932591826,-0.00892416375422167
121,0.2,0.8645341981132075,0.7249552772808586,0.1395789208323489,0.7864950250604275,0.5617115552791517,0.22478346978127572,0.12896235270019116,0.17477584716492608,-0.04581349446473493,0.412403734680243,0.537140543258214,-0.12473680857797104
122,0.1,0.7704081632653061,0.7337507453786524,0.036657417886653776,0.64324239201286,0.5735718030849171,0.06967058892794298,0.15938723098847543,0.1738671881542928,-0.014479957165817375,0.48795583911453566,0.5209714687924777,-0.03301562967794203
123,0.05,0.7505898213683856,0.7502981514609421,0.0002916699074434481,0.45593216022474664,0.5496803661214295,-0.09374820589668281,0.16207505454506965,0.1809523107235373,-0.01887725617846764,0.494346146524181,0.537249831885789,-0.04290368536160799
124,0.05,0.7608941709111489,0.725402504472272,0.03549166643887691,0.6490601613853813,0.5479659459115159,0.10109421547386532,0.17592769328661312,0.17867196745800917,-0.002744274171396055,0.5266187434130132,0.5360247816360812,-0.00940603822306807
125,0.05,0.8102189781021898,0.7412045319022063,0.06901444619998354,0.6350187621470262,0.610825716398267,0.024193045748759245,0.14613395846060212,0.1732015870904597,-0.027067628629857593,0.45412369891416776,0.5228962339033987,-0.06877253498923092
126,0.02,0.7592426952892068,0.7321109123434705,0.02713178294573637,0.5920676433377368,0.5512987741559963,0.0407688691817405,0.18035290088216877,0.18343112073408527,-0.0030782198519165027,0.5420256295688731,0.5491011756318369,-0.007075546062963789
127,0.05,0.7913623372499206,0.750298151460942,0.041064185788978524,0.6231683715787248,0.6004621729628509,0.022706198615873974,0.15749162584802115,0.1738468565587119,-0.016355230710690755,0.48183948497036205,0.5226878141547696,-0.04084832918440756
128,0.01,0.7917043740573152,0.7276386404293381,0.06406573362797707,0.6166557736590913,0.5320118323973418,0.08464394126174946,0.18297939324810455,0.1897200571050243,-0.0067406638569197375,0.5474284544206623,0.5629817036691657,-0.01555324924850332
